NN,MN,V,D1N,D2N,D3N,D4N
Nível Territorial,Unidade de Medida,Valor,Brasil,Mês,Variável,"Geral, grupo, subgrupo, item e subitem"
Brasil,%,0.88,Brasil,agosto 2021,INPC - Variação mensal,Índice geral
Brasil,%,1.20,Brasil,setembro 2021,INPC - Variação mensal,Índice geral
Brasil,%,1.16,Brasil,outubro 2021,INPC - Variação mensal,Índice geral
Brasil,%,0.84,Brasil,novembro 2021,INPC - Variação mensal,Índice geral
Brasil,%,0.73,Brasil,dezembro 2021,INPC - Variação mensal,Índice geral
Brasil,%,0.67,Brasil,janeiro 2022,INPC - Variação mensal,Índice geral
Brasil,%,1.00,Brasil,fevereiro 2022,INPC - Variação mensal,Índice geral
Brasil,%,1.71,Brasil,março 2022,INPC - Variação mensal,Índice geral
Brasil,%,1.04,Brasil,abril 2022,INPC - Variação mensal,Índice geral
Brasil,%,0.45,Brasil,maio 2022,INPC - Variação mensal,Índice geral
Brasil,%,0.62,Brasil,junho 2022,INPC - Variação mensal,Índice geral
Brasil,%,-0.60,Brasil,julho 2022,INPC - Variação mensal,Índice geral
Brasil,%,-0.31,Brasil,agosto 2022,INPC - Variação mensal,Índice geral
Brasil,%,-0.32,Brasil,setembro 2022,INPC - Variação mensal,Índice geral
Brasil,%,0.47,Brasil,outubro 2022,INPC - Variação mensal,Índice geral
Brasil,%,0.38,Brasil,novembro 2022,INPC - Variação mensal,Índice geral
Brasil,%,0.69,Brasil,dezembro 2022,INPC - Variação mensal,Índice geral
Brasil,%,0.46,Brasil,janeiro 2023,INPC - Variação mensal,Índice geral
Brasil,%,0.77,Brasil,fevereiro 2023,INPC - Variação mensal,Índice geral
Brasil,%,0.64,Brasil,março 2023,INPC - Variação mensal,Índice geral
Brasil,%,0.53,Brasil,abril 2023,INPC - Variação mensal,Índice geral
Brasil,%,0.36,Brasil,maio 2023,INPC - Variação mensal,Índice geral
Brasil,%,-0.10,Brasil,junho 2023,INPC - Variação mensal,Índice geral
Brasil,%,-0.09,Brasil,julho 2023,INPC - Variação mensal,Índice geral
Brasil,%,0.20,Brasil,agosto 2023,INPC - Variação mensal,Índice geral
Brasil,%,0.11,Brasil,setembro 2023,INPC - Variação mensal,Índice geral
Brasil,%,0.12,Brasil,outubro 2023,INPC - Variação mensal,Índice geral
Brasil,%,0.10,Brasil,novembro 2023,INPC - Variação mensal,Índice geral
Brasil,%,0.55,Brasil,dezembro 2023,INPC - Variação mensal,Índice geral
Brasil,%,0.57,Brasil,janeiro 2024,INPC - Variação mensal,Índice geral
Brasil,%,0.81,Brasil,fevereiro 2024,INPC - Variação mensal,Índice geral
Brasil,%,0.19,Brasil,março 2024,INPC - Variação mensal,Índice geral
Brasil,%,0.37,Brasil,abril 2024,INPC - Variação mensal,Índice geral
Brasil,%,0.46,Brasil,maio 2024,INPC - Variação mensal,Índice geral
Brasil,%,0.25,Brasil,junho 2024,INPC - Variação mensal,Índice geral
Brasil,%,0.26,Brasil,julho 2024,INPC - Variação mensal,Índice geral
Brasil,%,-0.14,Brasil,agosto 2024,INPC - Variação mensal,Índice geral
Brasil,%,0.48,Brasil,setembro 2024,INPC - Variação mensal,Índice geral
Brasil,%,0.61,Brasil,outubro 2024,INPC - Variação mensal,Índice geral
Brasil,%,0.33,Brasil,novembro 2024,INPC - Variação mensal,Índice geral
Brasil,%,0.48,Brasil,dezembro 2024,INPC - Variação mensal,Índice geral
Brasil,%,0.00,Brasil,janeiro 2025,INPC - Variação mensal,Índice geral
Brasil,%,1.48,Brasil,fevereiro 2025,INPC - Variação mensal,Índice geral
Brasil,%,0.51,Brasil,março 2025,INPC - Variação mensal,Índice geral
Brasil,%,0.48,Brasil,abril 2025,INPC - Variação mensal,Índice geral
Brasil,%,0.35,Brasil,maio 2025,INPC - Variação mensal,Índice geral
Brasil,%,0.23,Brasil,junho 2025,INPC - Variação mensal,Índice geral
Brasil,%,0.21,Brasil,julho 2025,INPC - Variação mensal,Índice geral
